handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_192da5be-d4fe-7585-bed0-84b626eeb0c5,Product,ΑΝΘΟΣ CBD SUPERIOR 4 γρ,"<p>Ακατέργαστος ανθός CBD 5,3% σε σακουλάκι<br>Καθαρό βάρος 4 γρ</p>",35c42a_876e25b95cfc42529d965890fc48457a~mv2.png,ΑΝΘΟΙ & ΡΗΤΙΝΕΣ,,,16.8,,true,PERCENT,30.0,InStock,0.0,,,,,,,,,,,,,,,,,,,ΓΙΑ ΑΥΤΟ ΤΟ ΠΡΟΪΟΝ,"<p>Ακατέργαστος ανθός CBD 5,3% σε σακουλάκι<br>
Καθαρό βάρος 4 γρ</p>
",,,,,,,,,,,,,,,,,
product_a5a1281b-3a03-bcf5-ccd1-2a3633047a15,Product,ΑΝΘΟΣ CBD GREEK DELIGHT 3 γρ,"<p>Ακατέργαστος ανθός CBD 5,3% σε σακουλάκι<br>Καθαρό βάρος 3 γρ</p>",35c42a_3174a4e260614390a766807a517a3158~mv2.png,ΑΝΘΟΙ & ΡΗΤΙΝΕΣ,,,13.2,,true,PERCENT,30.0,InStock,0.0,,,,,,,,,,,,,,,,,,,ΓΙΑ ΑΥΤΟ ΤΟ ΠΡΟΪΟΝ,"<p>Ακατέργαστος ανθός CBD 5,3% σε σακουλάκι<br>
Καθαρό βάρος 3 γρ</p>
",,,,,,,,,,,,,,,,,
product_32fb171f-131f-b0ad-65a2-4661d81534f1,Product,ΑΝΘΟΣ CBD EXCELLENT 2 γρ,"<p>Ακατέργαστος ανθός CBD 5,3% σε σακουλάκι<br>Καθαρό βάρος 2 γρ</p>",35c42a_3b406c11304444e2b42eebe7d6fc20e9~mv2.png,ΑΝΘΟΙ & ΡΗΤΙΝΕΣ,,,9.4,,true,PERCENT,30.0,InStock,0.0,,,,,,,,,,,,,,,,,,,ΓΙΑ ΑΥΤΟ ΤΟ ΠΡΟΪΟΝ,"<p>Ακατέργαστος ανθός CBD 5,3% σε σακουλάκι<br>
Καθαρό βάρος 2 γρ</p>
",,,,,,,,,,,,,,,,,
product_80c23629-b15f-7fe4-f909-a7ffddbc8d0a,Product,ΑΝΘΟΣ CBG PREMIUM FLOWER 4 γρ,"<p>Ακατέργαστος ανθός CBG 7,6% σε σακουλάκι<br>Καθαρό βάρος 4 γρ</p>",35c42a_6d5ecf970700478988f7fefbc5a830f0~mv2.png,ΑΝΘΟΙ & ΡΗΤΙΝΕΣ,,,17.6,,true,PERCENT,30.0,InStock,0.0,,,,,,,,,,,,,,,,,,,ΓΙΑ ΑΥΤΟ ΤΟ ΠΡΟΪΟΝ,"<p>Ακατέργαστος ανθός CBG 7,6% σε σακουλάκι<br>
Καθαρό βάρος 4 γρ</p>
",,,,,,,,,,,,,,,,,
product_7e8adad1-d680-af00-1406-d33590e4d8a2,Product,KIEF CBG 1 γρ,<p>Σκόνη CBG&nbsp;σε γυάλινο βαζάκι<br>Καθαρό βάρος 1 γρ</p>,35c42a_91dc53bc040d481c8816b120d80c37e1~mv2.png,ΑΝΘΟΙ & ΡΗΤΙΝΕΣ,,ΣΥΝΤΟΜΑ ΔΙΑΘΕΣΙΜΟ,6.0,,true,PERCENT,30.0,InStock,0.0,,,,,,,,,,,,,,,,,,,ΓΙΑ ΑΥΤΟ ΤΟ ΠΡΟΪΟΝ,"<p>Σκόνη CBG&nbsp;σε γυάλινο βαζάκι<br>
Καθαρό βάρος 1 γρ</p>
",,,,,,,,,,,,,,,,,
product_09304656-7869-32b0-5b8f-1a1221f9d23a,Product,KIEF CBD 1 γρ,<p>Σκόνη CBD&nbsp;σε γυάλινο βαζάκι<br>Καθαρό βάρος 1 γρ</p>,35c42a_ac60d5d1fb9c4eb2b7b6510fe5bb0b6d~mv2.png,ΑΝΘΟΙ & ΡΗΤΙΝΕΣ,,ΣΥΝΤΟΜΑ ΔΙΑΘΕΣΙΜΟ,5.0,,true,PERCENT,30.0,InStock,0.0,,,,,,,,,,,,,,,,,,,ΓΙΑ ΑΥΤΟ ΤΟ ΠΡΟΪΟΝ,"<p>Σκόνη CBD&nbsp;σε γυάλινο βαζάκι<br>
Καθαρό βάρος 1 γρ</p>
",,,,,,,,,,,,,,,,,
product_56bcb412-33ea-fae9-9010-1ac0b10206db,Product,HASH CBG 1 γρ,<p>Ρητίνη CBG&nbsp;σε γυάλινο βαζάκι<br>Καθαρό βάρος 1 γρ</p>,35c42a_4e09ce54458f45fa880bd75afd6e1d12~mv2.png,ΑΝΘΟΙ & ΡΗΤΙΝΕΣ,,ΣΥΝΤΟΜΑ ΔΙΑΘΕΣΙΜΟ,4.7,,true,PERCENT,0.0,OutOfStock,0.0,,,,,,,,,,,,,,,,,,,ΓΙΑ ΑΥΤΟ ΤΟ ΠΡΟΪΟΝ,"<p>Ρητίνη CBG&nbsp;σε γυάλινο βαζάκι<br>
Καθαρό βάρος 1 γρ</p>
",,,,,,,,,,,,,,,,,
product_1aae7899-b1b0-2449-fb40-734c2d5bc393,Product,HASH CBD 1 γρ,<p>Ρητίνη CBD&nbsp;σε γυάλινο βαζάκι<br>Καθαρό βάρος 1 γρ</p>,35c42a_b23c88a46af1475993bc667a6422e993~mv2.png,ΑΝΘΟΙ & ΡΗΤΙΝΕΣ,,ΣΥΝΤΟΜΑ ΔΙΑΘΕΣΙΜΟ,4.2,,true,PERCENT,0.0,OutOfStock,0.0,,,,,,,,,,,,,,,,,,,ΓΙΑ ΑΥΤΟ ΤΟ ΠΡΟΪΟΝ,"<p>Ρητίνη CBD&nbsp;σε γυάλινο βαζάκι<br>
Καθαρό βάρος 1 γρ</p>
",,,,,,,,,,,,,,,,,
product_fb80336e-5376-d6a4-ba53-65d0213be178,Product,ΣΤΑΓΟΝΕΣ CBD+CBG 20%,<p>Έλαιο CBD+CBG 20% σε σταγόνες<br>Περιεχόμενο 10 ml</p>,35c42a_dd7ff40523f04d1f86bf912aad2d9a96~mv2.png,ΕΛΑΙΑ CBD - CBG,,,95.0,,true,PERCENT,30.0,InStock,0.0,,,,,,,,,,,,,,,,,,,ΓΙΑ ΑΥΤΟ ΤΟ ΠΡΟΪΟΝ,"<p>Σταγόνες κανναβιδιόλης &amp; κανναβιγερόλης με σταγονόμετρο.<br>
- Ασφαλές για εξωτερική χρήση και εγκεκριμένο για στοματική φροντίδα.<br>
- Ένα προϊόν με συνεργική δράση των 2 κύριων ενώσεων.<br>
- Το ιδανικό προϊόν για προληπτική θεραπεία, βοηθά στη διατήρηση της καλής φυσικής κατάστασης και στην ενίσχυση του ανοσοποιητικού συστήματος.<br>
- Μικροβιολογικά ελεγμένο.</p>
",,,,,,,,,,,,,,,,,
product_67a199bd-4c7e-4156-2345-9190d946676a,Product,ΣΤΑΓΟΝΕΣ CBG 15%,<p>Έλαιο CBG 15% σε σταγόνες<br>Περιεχόμενο 10 ml</p>,35c42a_ee3c7e8adecf407baa896f7baed472cd~mv2.png,ΕΛΑΙΑ CBD - CBG,,,78.0,,true,PERCENT,30.0,InStock,0.0,,,,,,,,,,,,,,,,,,,ΓΙΑ ΑΥΤΟ ΤΟ ΠΡΟΪΟΝ,"<p>Σταγόνες κανναβιγερόλης με σταγονόμετρο. &nbsp;Ασφαλές για εξωτερική χρήση και εγκεκριμένο για στοματική φροντίδα.<br>
- Βοηθά στη σωστή λειτουργία του σώματος (ομοιόσταση) και φλεγμονώδεις δερματικές παθήσεις όπως ψωρίαση, έκζεμα, ακμή, κνησμώδη εξανθήματα και δερματίτιδα.<br>
- Χρησιμοποιείται για νευροπαθητικό πόνο, αρθρίτιδα, μυϊκούς τραυματισμούς.<br>
- Έχει αναλγητικές, αγχολυτικές και αντιοξειδωτικές ιδιότητες. &nbsp;Κατάλληλο για πονοκεφάλους, ημικρανίες, αϋπνία και διαταραχές άγχους.<br>
- Συνιστάται ως συμπληρωματική θεραπεία για ήπιες μορφές γλαυκώματος, ως αντιφλεγμονώδης νόσος του εντέρου, νόσος του Crohn και αυτοάνοσες ασθένειες.<br>
- Το ιδανικό προϊόν για προληπτική θεραπεία βοηθά στη διατήρηση της καλής φυσικής κατάστασης και στην ενίσχυση του ανοσοποιητικού συστήματος.<br>
- Μικροβιολογικά ελεγμένο.</p>
",,,,,,,,,,,,,,,,,
